"year" "value"
1992 35.66810967
1993 35.66749246
1994 35.66736724
1995 35.65480279
1996 35.64860674
1997 35.63926798
1998 35.6254114
1999 35.6064503
2000 35.59148006
2001 35.58555707
2002 35.58028968
2003 35.57635853
2004 35.56178118
2005 35.5581813
2006 35.55519738
2007 35.54905174
2008 35.54257248
2009 35.53709416
2010 35.53127936
2011 35.52605644
2012 35.52177599
2013 35.5193938
2014 35.51607979
2015 35.51564968
