"year" "value"
1992 1.60674612
1993 1.60620549
1994 1.60567215
1995 1.6019736
1996 1.60166553
1997 1.60087047
1998 1.59963342
1999 1.59666522
2000 1.59735516
2001 1.59595341
2002 1.59534303
2003 1.59441558
2004 1.58971623
2005 1.58925903
2006 1.58980776
2007 1.58996949
2008 1.59290367
2009 1.59117216
2010 1.59018081
2011 1.58925687
2012 1.58770725
2013 1.5880551
2014 1.58787519
2015 1.58751546
